coverageDirectEffect,coverageMediatorEffect,coverageMainEffect,coverageIndirectEffect,coverageMediatedProportion,aboveIndirectEffect,belowIndirectEffect,biasDirectEffect,biasMediatorEffect,biasMainEffect,biasIndirectEffect,biasMediatedProportion,mseDirectEffect,msesMediatorEffect,mseMainEffect,mseIndirectEffect,mseMediatedProportion,indirectType1Error,indirectType2Error,nonEstimableFraction,ps,mrs,psAdjustment,mrsAdjustment,mediatorType,sampleSize,sampling,bootstrapType,dropUninformativeStrata,n,nX,hCensor,aIntercept,confoundingAySd,confoundingmYSd,confoundingAymSd,mIntercept,mA,yIntercept,yA,yM
0.946,0.97,0.944,0.982,0.996,0.011,0.007,0.1106933285789658,0.04712565298807666,0.10876648994965446,-0.0019268386293112352,0.09802124911887747,0.22662453414060746,0.18788956681345892,0.19747044003610623,0.012897870562097772,0.5960842274555813,NA,0.979,0,fit,fit,matching,model,time-to-event,1000,strata,percentile,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.946,0.97,0.944,0.982,0.995,0.015,0.003,0.1106933285789658,0.04712565298807666,0.10876648994965446,-0.0019268386293112352,0.09802124911887747,0.22662453414060746,0.18788956681345892,0.19747044003610623,0.012897870562097772,0.5960842274555813,NA,0.991,0,fit,fit,matching,model,time-to-event,1000,strata,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.946,0.97,0.944,0.979,0.962,0.02,0.001,0.1106933285789658,0.04712565298807666,0.10876648994965446,-0.0019268386293112352,0.09802124911887747,0.22662453414060746,0.18788956681345892,0.19747044003610623,0.012897870562097772,0.5960842274555813,NA,0.993,0,fit,fit,matching,model,time-to-event,1000,strata,bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.946,0.97,0.944,0.996,0.992,0.004,0,0.1106933285789658,0.04712565298807666,0.10876648994965446,-0.0019268386293112352,0.09802124911887747,0.22662453414060746,0.18788956681345892,0.19747044003610623,0.012897870562097772,0.5960842274555813,NA,1,0,fit,fit,matching,model,time-to-event,1000,strata,pivoted,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.946,0.974,0.947,0.998,0.999,0.002,0,0.11010655818631371,0.04627067155220344,0.10791150851378124,-0.002195049672532367,0.12422880550294775,0.22643058156175627,0.18704468032532368,0.19651966247744,0.012998658878308342,2.0728623731949605,NA,0.998,0,fit,fit,matching,model,time-to-event,1000,person,percentile,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.946,0.974,0.947,0.999,0.996,0.001,0,0.11010655818631371,0.04627067155220344,0.10791150851378124,-0.002195049672532367,0.12422880550294775,0.22643058156175627,0.18704468032532368,0.19651966247744,0.012998658878308342,2.0728623731949605,NA,0.999,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.946,0.974,0.947,0.998,0.972,0.002,0,0.11010655818631371,0.04627067155220344,0.10791150851378124,-0.002195049672532367,0.12422880550294775,0.22643058156175627,0.18704468032532368,0.19651966247744,0.012998658878308342,2.0728623731949605,NA,0.999,0,fit,fit,matching,model,time-to-event,1000,person,bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.946,0.974,0.947,1,0.995,0,0,0.11010655818631371,0.04627067155220344,0.10791150851378124,-0.002195049672532367,0.12422880550294775,0.22643058156175627,0.18704468032532368,0.19651966247744,0.012998658878308342,2.0728623731949605,NA,1,0,fit,fit,matching,model,time-to-event,1000,person,pivoted,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.951,0.958,0.951,0.898,0.946,0.1,0.002,0.014427041486585494,-0.014558319353268616,0.03207420216189738,0.017647160675311992,-0.00912509085645212,0.022929825793826214,0.02231731847982929,0.023112421866051634,0.0010135812233790077,0.0036404802774955836,NA,0.84,0,fit,fit,matching,model,time-to-event,1000,strata,percentile,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.951,0.958,0.951,0.904,0.932,0.095,0.001,0.014427041486585494,-0.014558319353268616,0.03207420216189738,0.017647160675311992,-0.00912509085645212,0.022929825793826214,0.02231731847982929,0.023112421866051634,0.0010135812233790077,0.0036404802774955836,NA,0.852,0,fit,fit,matching,model,time-to-event,1000,strata,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
