coverageDirectEffect,coverageMediatorEffect,coverageMainEffect,coverageIndirectEffect,coverageMediatedProportion,aboveIndirectEffect,belowIndirectEffect,biasDirectEffect,biasMediatorEffect,biasMainEffect,biasIndirectEffect,biasMediatedProportion,mseDirectEffect,msesMediatorEffect,mseMainEffect,mseIndirectEffect,mseMediatedProportion,indirectType1Error,indirectType2Error,nonEstimableFraction,ps,mrs,psAdjustment,mrsAdjustment,mediatorType,sampleSize,sampling,bootstrapType,dropUninformativeStrata,n,nX,hCensor,aIntercept,confoundingAySd,confoundingmYSd,confoundingAymSd,mIntercept,mA,yIntercept,yA,yM
0.962,0.967,0.961,0.995,0.987,0.005,0,0.5898023822009525,0.5674751288319574,0.5899691136402465,1.6673143929416462e-4,-0.11240972841204601,9.639877851533889,9.589095514957657,9.615177651711637,0.005478004242851245,21.45085629174799,NA,0.993,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-2.3025850929940455,0.1,0.1,0.1,-4.605170185988091,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,-0.6931471805599453
0.948,0.948,0.949,0.976,0.989,0.02,0.004,0.015773673833592752,4.372769562627613e-4,0.016642245287501238,8.685714539085964e-4,0.010040511729798293,0.050814195567835396,0.04983466065566359,0.05012574401278998,3.412998610284259e-4,0.0019390131767433008,NA,0.904,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-2.3025850929940455,0.1,0.1,0.1,-4.605170185988091,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,-0.6931471805599453
0.965,0.953,0.969,0.986,0.952,0.013,0.001,0.948489107359895,0.8469816714757301,0.9607374917515956,0.012248384391700822,1.0037249250785851,16.07219520418758,15.749663310246813,15.955117931690499,0.014262320141087647,418.179605290077,NA,0.967,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-2.3025850929940455,0.1,0.1,0.1,-2.3025850929940455,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,-0.6931471805599453
0.95,0.944,0.955,0.973,0.992,0.024,0.003,0.014877422469109112,-0.07311129469305254,0.028284668151013385,0.01340724568190438,0.06408386768158165,0.05557734505742427,0.05776808213454945,0.053255333359485485,0.0019652273222439632,0.05548883391413875,NA,0.451,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-2.3025850929940455,0.1,0.1,0.1,-2.3025850929940455,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,-0.6931471805599453
0.944,0.988659793814433,0.942,0.924,0.917,0.076,0,0.1132756598460883,0.09289353775874357,0.11538508674117133,0.002109426895083143,-0.008831048905837026,0.2549822261490538,0.24088011706568843,0.24554832619746234,0.005403374653783137,0.6817409946368015,NA,1,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,-0.6931471805599453
0.938,0.971,0.942,0.992,0.998,0.008,0,0.01755505339110134,0.005890817616187443,0.02209314008110048,0.004538086689999255,2.46054127535187e-5,0.02418412272781114,0.023224296658200003,0.023677744343302182,2.506630148635304e-4,9.726642789266653e-4,NA,0.996,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,-0.6931471805599453
0.952,0.958,0.943,1,0.992,0,0,0.1578609434809864,0.042934792703513504,0.15669202179206496,-0.0011689216889213254,0.5655759248295704,0.3192080532199876,0.2525489989374815,0.27518504492910717,0.028599849247849904,68.67485219126176,NA,0.999,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,-0.6931471805599453
0.948,0.954,0.948,0.983,0.996,0.017,0,0.018258534918768544,-0.0562474480974577,0.04514616357710463,0.026887628658336195,0.0021280815344242123,0.02557315601611034,0.0265735000412358,0.025418405399889696,0.0021080368626657836,0.00907892445933173,NA,0.668,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,-0.6931471805599453
0.9408817635270541,0.9976958525345622,0.9428857715430862,0.781563126252505,0.750501002004008,0.218436873747495,0,0.20149951448484613,0.17039457928402132,0.1928910858118418,-0.008608428673004225,0.04407526356249221,0.3798534566253952,0.34185269416085035,0.34990586175233135,0.017246201797665422,3.5238023247640013,NA,1,0.002,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.10536051565782628,0.1,0.1,0.1,-4.605170185988091,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,-0.6931471805599453
0.935,0.985,0.939,0.969,0.973,0.031,0,0.029159608651786736,0.017557232924983908,0.03375892426110462,0.004599315609318,4.056710977384002e-4,0.02671576884946801,0.025702011709931697,0.026495099685272284,3.3441009714102774e-4,0.0015026641414816189,NA,0.999,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.10536051565782628,0.1,0.1,0.1,-4.605170185988091,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,-0.6931471805599453
